




综合,#genre#
解锁更多,http://150.158.112.123/jar/gzh.mp4
关注公众号,http://150.158.112.123/jar/gzh.mp4
玉玉软件库,http://150.158.112.123/jar/gzh.mp4
Now 爆谷,http://223.244.26.190:8082/now包谷.盗源者死全家/易發TV/hls.m3u8


星光经典频视,https://ali.hlspull.yximgs.com/live/1355046088.flv
星光综合频视,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
星光影迷频视,https://ali.hlspull.yximgs.com/live/11077536.flv
经典电影频视,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
经典乡村频视,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
经典港剧频视,http://cfss.cc/cdn/dyu/9548850.m3u8
经典武侠频视,http://cfss.cc/cdn/dyu/338759.m3u8
邵氏影院频视,http://cfss.cc/cdn/dyu/4246519.m3u8
檬檬功夫频视,http://cfss.cc/cdn/dyu/9838414.m3u8
经典频道频视,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv
经典功夫频视,http://ali.hlspull.yximgs.com/live/asdfg99338.flv
经典都市频视,http://ali.hlspull.yximgs.com/live/asdfg32619.flv 
经典综艺频视,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
经典少儿频视,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv
经典港片频视,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv
熊猫功夫频视,http://data.3g.yy.com/live/hls/1507716299/1507716299
大湾区音乐会,https://vod2-nflive.southcn.com/6c9b613dvodcq1500007626/690b5f141397757893540164754/playlist_eof.m3u8

影视轮播1,http://zby.xjqxz.top/dzzypd/live.m3u8
影视轮播2,http://zby.xjqxz.top/dzzypd3/live.m3u8
影视轮播3,http://zby.xjqxz.top/dzzypd2/live.m3u8
影视轮播4,http://zby.xjqxz.top/gzdsj3/live.m3u8
影视轮播5,http://zby.xjqxz.top/kzzypd/live.m3u8
影视轮播6,http://zby.xjqxz.top/dsdsj1/live.m3u8
影视轮播7,http://120.77.28.4:8648/huya.php?id=21059595
影视轮播8,http://120.77.28.4:8648/huya.php?id=11342427
影视轮播9,http://120.77.28.4:8648/huya.php?id=21059598
星光影迷https://ali.hlspull.yximgs.com/live/11077536.flv
经典功夫台,http://ali.hlspull.yximgs.com/live/asdfg99338.flv
经典频道,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv
经典都是,http://ali.hlspull.yximgs.com/live/asdfg32619.flv
经典音乐,http://ali.hlspull.yximgs.com/live/asdfg659911975.flv
经典怀旧,http://ali.hlspull.yximgs.com/live/asdfg659901975.flv
经典台,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv
经典娱乐,http://ali.hlspull.yximgs.com/live/asdfg5899038.flv
经典电影,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
经典乡村,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
经典综艺,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
经典少儿,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv
未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
龙腾功夫,https://ali.hlspull.yximgs.com/live/lgtv99838.flv
熊猫功夫台,http://data.3g.yy.com/live/hls/1507716299/1507716299
星光戏剧界台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
檬檬功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9838414
经典古装,http://ali.hlspull.yximgs.com/live/_pa_chong_bo___POPC.flv
香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850
龙腾经典台,https://ali.hlspull.yximgs.com/live/lgtv93858.flv

V6,#genre#
CCTV9,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010217/1.m3u8

湖北卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010223/1.m3u8
湖南卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010224/1.m3u8
东方卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010219/1.m3u8
广东卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010221/1.m3u8
黑龙江卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010222/1.m3u8
重庆卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010218/1.m3u8
江苏卫视,http://2409:8087:5e00:24::1e:6060/200000001898/460000089800010225/1.m3u8




NEWTV超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8

NEWTV动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NEWTV动作电影,http://rihou.cc:567/53057.php?id=chcdz

NEWTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8

NEWTV黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8

NEWTV超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NEWTV超级电视剧,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225716/index.m3u8













电视剧,#genre#
亮剑,http://120.77.28.4:8648/huya.php?id=30080238 
活佛济公,http://120.77.28.4:8648/huya.php?id=11342400
梦华录,http://120.77.28.4:8648/huya.php?id=11336590 
繁花,http://120.77.28.4:8648/huya.php?id=21059580 
我的前半生,http://120.77.28.4:8648/yy.php?id=1382735564 
 
我的体育老师,http://120.77.28.4:8648/yy.php?id=1382745169 

笑傲江湖,http://120.77.28.4:8648/huya.php?id=23865142 
少年歌行,http://120.77.28.4:8648/yy.php?id=1354806550 
伪装者,http://120.77.28.4:8648/yy.php?id=1354936244 
闯关东,http://124.248.69.76:35455/douyu/8787737 

伪装者,http://120.77.28.4:8648/yy.php?id=1354936244 
二炮手,http://120.77.28.4:8648/yy.php?id=1354930964 
风筝,http://120.77.28.4:8648/yy.php?id=1354931585 
使徒行者,http://120.77.28.4:8648/huya.php?id=23734256 
洗冤录,http://120.77.28.4:8648/huya.php?id=23903130 
延禧攻略,http://120.77.28.4:8648/huya.php?id=26355864 
民兵葛二蛋,http://120.77.28.4:8648/huya.php?id=11602072 
开端,http://120.77.28.4:8648/huya.php?id=11342397 
铁道游击队,http://120.77.28.4:8648/huya.php?id=11352936 
勇敢的心,http://120.77.28.4:8648/huya.php?id=11602037 
鉴证实录,http://120.77.28.4:8648/huya.php?id=23903183 
西游记,http://124.248.69.76:35455/douyu/3113309 
西游记（TVB版）,http://120.77.28.4:8648/huya.php?id=23728660 
封神榜,http://120.77.28.4:8648/yy.php?id=1353426319 
康熙微服私访记,http://120.77.28.4:8648/huya.php?id=11342418 
楚汉骄雄,http://120.77.28.4:8648/huya.php?id=23740156 
小李飞刀（焦恩俊版）,http://120.77.28.4:8648/huya.php?id=11342397 
御赐小仵作,http://120.77.28.4:8648/huya.php?id=11352948 
笑看风云,http://120.77.28.4:8648/huya.php?id=23865058 
新水浒传,http://120.77.28.4:8648/huya.php?id=11342384 
神雕侠侣,http://120.77.28.4:8648/huya.php?id=23865171 
康熙王朝,http://120.77.28.4:8648/huya.php?id=11352940 
雍正王朝,http://120.77.28.4:8648/huya.php?id=11342439 
陆小凤,http://120.77.28.4:8648/huya.php?id=29808803 
爱情公寓,http://120.77.28.4:8648/huya.php?id=11336726 
三国演义（94版）,http://120.77.28.4:8648/huya.php?id=11602081 
新三国演义,http://120.77.28.4:8648/huya.php?id=11352944 
济公游记,http://120.77.28.4:8648/yy.php?id=1355265814 
宰相刘罗锅,http://120.77.28.4:8648/yy.php?id=1382745191 
