
1.央视频道,#genre#
2.卫视频道,#genre#
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
3.广东频道,#genre#
广东体育,http://171.38.25.112:8181/tsfile/live/1041_1.m3u8
广东民生,http://113.109.251.4:9999/udp/239.77.0.225:5146
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东珠江,http://113.109.251.4:9999/udp/239.77.0.1:5146
广东民生,http://113.102.83.24:4022/udp/239.77.0.225:5146#http://58.254.14.91:808/hls/58/index.m3u8
广东珠江,http://58.254.14.91:808/hls/55/index.m3u8
广东体育,http://218.15.214.115:10000/udp/239.77.0.112:5146#http://113.102.83.24:4022/udp/239.77.0.112:5146
广东体育,http://113.109.251.4:9999/udp/239.77.0.112:5146
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
广东民生,http://113.100.72.190:8899/udp/239.77.0.225:5146
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
梅州-1,http://php.jdshipin.com:8880/chudian.php?id=mzzh
4.少儿频道,#genre#
动漫秀场,http://218.67.179.51:8888/udp/225.1.1.134:5002
金鹰卡通,http://39.98.201.151:9090/udp/225.1.8.163:9252
优漫卡通,http://wouu.net:9977/udp/239.93.0.251:5140
卡酷少儿,http://221.196.136.66:1/udp/225.1.1.58:5002
优漫卡通,http://dd.ddzb.fun/php/migu.php?id=ymkt#http://dd.ddzb.fun/php/migu.php?id=ymkt
金鹰卡通,http://wouu.net:9977/udp/239.93.0.108:5140
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225657/index.m3u8#http://110.177.146.152:888/udp/239.1.1.64:8064
动漫秀场,http://221.196.136.66:1/udp/225.1.1.134:5002
优漫卡通,http://110.177.146.152:888/udp/239.1.1.72:8072
黑莓动画,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/1.m3u8
哈哈炫动,http://60.12.183.46:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://221.196.136.66:1/udp/225.1.2.236:5002
动漫秀场,http://110.177.146.152:888/udp/239.1.1.80:8080
哈哈炫动,http://221.196.136.66:1/udp/225.1.1.62:5002
优漫卡通,http://221.213.69.82:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
哈哈炫动,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031123
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
金鹰卡通,http://221.213.69.82:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
